x,y,year,ndwi
74.73436468505861,27.09109019552533,2024,-0.4377867877483368
74.75545843505861,27.09109019552533,2024,-0.3897845447063446
74.7765521850586,27.09109019552533,2024,-0.4019181728363037
74.79764593505861,27.09109019552533,2024,-0.4225371778011322
74.8187396850586,27.09109019552533,2024,-0.4048817455768585
74.83983343505861,27.09109019552533,2024,-0.3905823230743408
74.86092718505861,27.09109019552533,2024,-0.4832344055175781
74.8820209350586,27.09109019552533,2024,-0.38589543104171753
74.90311468505861,27.09109019552533,2024,-0.40577906370162964
74.9242084350586,27.09109019552533,2024,-0.4053152799606323
74.94530218505861,27.09109019552533,2024,-0.37042322754859924
74.96639593505861,27.09109019552533,2024,-0.6117884516716003
74.9874896850586,27.09109019552533,2024,-0.5335689187049866
75.00858343505861,27.09109019552533,2024,-0.453096866607666
75.0296771850586,27.09109019552533,2024,-0.3693622052669525
75.05077093505861,27.09109019552533,2024,-0.48054781556129456
75.07186468505861,27.09109019552533,2024,-0.6342819929122925
75.0929584350586,27.09109019552533,2024,-0.2670040428638458
75.11405218505861,27.09109019552533,2024,-0.40633657574653625
75.1351459350586,27.09109019552533,2024,-0.5836768746376038
75.15623968505861,27.09109019552533,2024,-0.3169556260108948
75.17733343505861,27.09109019552533,2024,-0.43813881278038025
75.1984271850586,27.09109019552533,2024,-0.5063058733940125
75.21952093505861,27.09109019552533,2024,-0.521381139755249
75.2406146850586,27.09109019552533,2024,-0.4669356346130371
74.73436468505861,27.072289746897418,2024,-0.39737990498542786
74.75545843505861,27.072289746897418,2024,-0.43672600388526917
74.7765521850586,27.072289746897418,2024,-0.4430268406867981
74.79764593505861,27.072289746897418,2024,-0.6332917213439941
74.8187396850586,27.072289746897418,2024,-0.4468020498752594
74.83983343505861,27.072289746897418,2024,-0.49741530418395996
74.86092718505861,27.072289746897418,2024,-0.424622505903244
74.8820209350586,27.072289746897418,2024,-0.4807756245136261
74.90311468505861,27.072289746897418,2024,-0.448353111743927
74.9242084350586,27.072289746897418,2024,-0.4401850998401642
74.94530218505861,27.072289746897418,2024,-0.43480733036994934
74.96639593505861,27.072289746897418,2024,-0.6053047180175781
74.9874896850586,27.072289746897418,2024,-0.37641921639442444
