year,cluster,min,median,max,mean,std,count
2022,0,-0.3893376290798187,-0.3387211710214615,-0.2217887043952942,-0.33087423443794245,0.043156095280224724,46
2022,1,0.2021654993295669,0.2800605595111847,0.3400227129459381,0.2643632590770721,0.0408254305067294,11
2022,2,-0.5153030157089233,-0.45456528663635254,-0.3928163945674896,-0.45527783591868515,0.03616109166319501,118
2022,3,-0.2096459567546844,-0.13376572728157038,0.1054011508822441,-0.10121915767462374,0.09023343156991077,34
2022,4,-0.8007230758666992,-0.5777074694633484,-0.5188718438148499,-0.5974559305788396,0.07010502954507328,91
2023,0,-0.3908300697803497,-0.34878282248973846,-0.2191588282585144,-0.34020199354678865,0.039375460647624004,126
2023,1,0.13921520113945,0.1544389277696609,0.1884482204914093,0.16070078313350675,0.025206758480135698,3
2023,2,-0.5138142704963684,-0.4230906814336777,-0.3923744261264801,-0.4320927346652409,0.030743015998640048,106
2023,3,-0.2095141410827636,-0.12050487101078025,0.083344854414463,-0.09960877892095592,0.06686286610710225,50
2023,4,-0.6057936549186707,-0.5395641326904297,-0.5215598940849304,-0.5490360101064046,0.02817762856631602,15
2024,0,-0.3905823230743408,-0.35111838579177856,-0.2471825629472732,-0.3439202183747993,0.03675409547389862,68
2024,1,0.1768329441547393,0.4829175770282745,0.54666668176651,0.4592507580916087,0.08597131192435972,21
2024,2,-0.5152679681777954,-0.4334609508514404,-0.3916329443454742,-0.4387860244320285,0.03116092496897004,155
2024,3,-0.2189204841852188,-0.1168801710009574,0.1038099974393844,-0.08845366907277792,0.09789341317406722,33
2024,4,-0.6572682857513428,-0.5836768746376038,-0.521381139755249,-0.5795580977978914,0.04186199359439723,23
