year,prcp_total_mm,tavg_mean_C,tmean_mean_C,prcp_MAM_mm,tavg_MAM_mean_C,tmean_MAM_mean_C
2022,33.980000000000004,7.921568627450981,8.096341463414634,0.6900000000000001,8.994047619047619,9.227142857142857
2023,23.63,7.835616438356165,7.816257668711656,4.49,8.280434782608696,8.311538461538461
2024,47.03,8.148333333333333,8.094545454545454,0.1,8.750574712643678,8.560294117647059
